ID_Cliente;Nome;Email;Telefone;Data_de_Nascimento;Endereço;Renda_Mensal;Data_de_Cadastro;CPF;Idade
292;Dr. Levi Gomes;eduarda99@castro.com;0800 311 3123;20/09/2005;Recanto Barbosa, 25, Santa Efigênia, 01382013 Almeida do Campo / AP;9863.37;20/06/2023;409.253.186-98;19
378;Felipe Souza;oliviacarvalho@bol.com.br;+55 51 6832 6910;01/04/1992;Feira de Costela, 6, Madri, 93601-095 Nogueira da Mata / RS;12042.93;13/05/2023;097.681.354-84;32
191;Sophie Cavalcanti;correiaana-julia@lopes.com;71 6976-6856;05/05/1975;Largo de Rodrigues, 34, Parque São José, 09017139 Monteiro Paulista / AM;8156.13;26/01/2022;289.135.604-70;49
556;Bruna da Cunha;almeidaryan@fernandes.org;(061) 9383 9986;24/10/1952;Viaduto Martins, 43, Apolonia, 03729136 Rodrigues da Serra / SP;1175.88;23/10/2023;258.197.630-68;72
404;Levi Monteiro;ericksouza@yahoo.com.br;61 2254 5940;05/10/1967;Campo Cardoso, 7, Vila Aeroporto, 51017-525 Pinto / AP;1466.16;25/01/2021;236.109.845-89;57
330;Dr. Henrique Peixoto;;(041) 9854 7261;10/12/1946;Vale Porto, 605, Caiçaras, 01591756 Peixoto do Galho / RS;4455.06;06/05/2021;918.027.453-60;78
736;João Vitor Monteiro;cmonteiro@lopes.br;+55 (071) 6783-6041;29/10/1957;Passarela Nogueira, 41, Novo São Lucas, 74371-483 Correia das Flores / RO;;10/04/2024;042.368.791-31;67
540;Yuri Viana;giovanna00@da.net;+55 41 7453-7563;27/09/1946;Quadra de Ramos, 92, Venda Nova, 29098-747 Cardoso de da Mota / RS;10664.1;29/12/2023;873.469.520-65;78
123;Brenda Nogueira;maria-eduarda22@gmail.com;+55 (031) 5900-4467;28/11/1981;Estação de Nunes, 66, Belvedere, 28955582 Pires / RJ;8664.12;09/12/2024;189.325.746-00;43
685;Bernardo Lopes;gomesotavio@yahoo.com.br;(011) 8139-4113;22/11/1957;Passarela da Rosa, 334, Tres Marias, 06926-134 Rodrigues / CE;6020.85;08/06/2023;890.512.634-06;67
610;Dr. Luiz Felipe Vieira;qpereira@peixoto.org;+55 81 9103-6509;15/09/2001;Favela Bárbara Melo, 22, Independência, 84954551 Monteiro da Serra / RN;6793.29;22/08/2020;035.827.914-32;23
971;Thomas Barbosa;das-nevesana-vitoria@sales.org;61 5530-8427;07/12/1969;Loteamento Carvalho, 27, Madri, 42741-298 Lopes / AL;6206.58;07/10/2021;246.971.038-31;55
854;;castrodavi-luiz@gmail.com;+55 (084) 7761-8493;16/03/1969;Viaduto Cardoso, 33, Aparecida 7ª Seção, 44252222 Gonçalves / RO;8772.36;23/07/2020;895.014.673-84;55
786;Henrique Vieira;bernardo14@bol.com.br;(081) 2246-7445;04/10/1949;Loteamento de Martins, 569, Vila São Dimas, 22280193 Correia / RS;5800.68;10/05/2020;968.175.204-01;75
44;Dr. Bernardo Fogaça;luiz-fernando15@yahoo.com.br;0900 081 9212;27/06/1959;Aeroporto de Oliveira, 29, Vila Califórnia, 96840-979 da Costa de Carvalho / RR;1757.67;08/02/2020;000.000.000-00;65
368;Camila Jesus;pcostela@gomes.com;+55 (011) 9218 7503;15/11/1958;Chácara Renan da Rocha, Braúnas, 46138565 Almeida / SP;;16/11/2023;937.140.682-87;66
995;Dr. João Vitor Cardoso;;(081) 5447 4459;01/11/1966;Viaduto da Cruz, 711, Marieta 3ª Seção, 16963-186 Teixeira / AM;3698.61;24/02/2020;967.582.130-21;58
85;Maria Julia da Costa;bcostela@ferreira.br;+55 (021) 5552-0549;10/11/1968;Lagoa Porto, 23, Vila Paquetá, 53060104 Ferreira / AC;6102.03;09/08/2021;604.579.123-16;56
758;Vitor da Mata;juancunha@porto.br;0500-252-3673;25/12/1985;Núcleo de Moura, 53, Vila Calafate, 37505608 Ribeiro / CE;2665.41;30/08/2023;126.984.035-51;38
129;Sophia da Mata;ana-beatrizpinto@uol.com.br;+55 (061) 0001 1330;30/08/1962;Avenida de Nunes, 3, Nova Floresta, 53665451 Alves / SE;6905.22;20/03/2021;481.706.592-30;62
607;Fernanda Costa;biancaribeiro@uol.com.br;+55 (011) 7907-6525;21/09/1953;Área Kamilly Vieira, 369, Vista Do Sol, 88381-849 Costa de Pereira / SP;8335.71;20/11/2021;643.702.159-43;71
87;Nina Carvalho;oliveiravitor@ig.com.br;21 5187 7970;03/02/1973;Estação Maria Clara da Rosa, 539, Jonas Veiga, 73855-464 Pinto de Goiás / PB;2249.67;05/10/2022;691.540.738-39;51
531;Julia Barbosa;costaraquel@duarte.com;(011) 4122 8042;31/03/1952;Conjunto Gonçalves, 6, Ouro Minas, 41788766 Ferreira da Serra / RS;3031.95;01/02/2024;265.389.407-65;72
46;Evelyn Mendes;igorlima@rocha.net;+55 (041) 1105 3648;27/08/1946;Passarela de Rodrigues, 9, Eymard, 18295180 da Paz / AL;1750.29;02/06/2022;591.062.387-77;78
457;Francisco Melo;erickda-mota@uol.com.br;71 0923 9285;30/04/1985;Lagoa Kaique Araújo, 52, Pedreira Padro Lopes, 67307-292 Ferreira Alegre / MT;9582.93;09/02/2024;675.208.493-92;39
890;Marina da Luz;caldeirajulia@yahoo.com.br;41 7197-6804;02/07/1959;Rua Amanda Caldeira, Vila Maria, 15115-130 Moreira das Pedras / ES;2509.2;01/10/2021;285.367.194-19;65
567;Dr. Eduardo Moreira;;(071) 5368 2757;23/04/1959;Fazenda Vitória da Rocha, 3, Cardoso, 17247-859 Melo Alegre / BA;7029.45;26/01/2022;301.576.298-21;65
264;;murilo48@bol.com.br;+55 (084) 4056-6271;09/06/1994;Avenida da Costa, 29, Itaipu, 24856418 Moraes / MA;5477.19;15/08/2023;689.412.730-13;30
412;Ana Vitória Silveira;maria-clarafarias@goncalves.net;+55 11 1856 7217;09/01/1984;Avenida Pedro Cardoso, 83, Mineirão, 47399-121 Alves / PR;9928.56;15/07/2020;318.204.765-53;40
4;Milena Costela;melissa72@ig.com.br;+55 51 2535 0167;07/09/1972;Colônia de Freitas, 4, São Geraldo, 09722-615 da Paz / PR;1854.84;27/04/2022;968.521.340-24;52
456;Davi Lucas Castro;luiz-fernandofogaca@da.com;11 3581-0190;25/10/1952;Praia de Jesus, 733, Vila Do Pombal, 37970-112 Pires / SE;1178.34;27/04/2021;902.871.564-94;72
