ID_Cliente;Nome;Email;Telefone;Data_de_Nascimento;Endereço;Renda_Mensal;Data_de_Cadastro;CPF;Idade
 01382013 Almeida do Campo / AP;9863.37;20/06/2023;409.253.186-98;19
 93601-095 Nogueira da Mata / RS;12042.93;13/05/2023;097.681.354-84;32
 09017139 Monteiro Paulista / AM;8156.13;26/01/2022;289.135.604-70;49
 03729136 Rodrigues da Serra / SP;1175.88;23/10/2023;258.197.630-68;72
 51017-525 Pinto / AP;1466.16;25/01/2021;236.109.845-89;57
 01591756 Peixoto do Galho / RS;4455.06;06/05/2021;918.027.453-60;78
 74371-483 Correia das Flores / RO;;10/04/2024;042.368.791-31;67
 29098-747 Cardoso de da Mota / RS;10664.1;29/12/2023;873.469.520-65;78
 28955582 Pires / RJ;8664.12;09/12/2024;189.325.746-00;43
 06926-134 Rodrigues / CE;6020.85;08/06/2023;890.512.634-06;67
 84954551 Monteiro da Serra / RN;6793.29;22/08/2020;035.827.914-32;23
 42741-298 Lopes / AL;6206.58;07/10/2021;246.971.038-31;55
 44252222 Gonçalves / RO;8772.36;23/07/2020;895.014.673-84;55
 22280193 Correia / RS;5800.68;10/05/2020;968.175.204-01;75
 96840-979 da Costa de Carvalho / RR;1757.67;08/02/2020;000.000.000-00;65
""
 16963-186 Teixeira / AM;3698.61;24/02/2020;967.582.130-21;58
 53060104 Ferreira / AC;6102.03;09/08/2021;604.579.123-16;56
 37505608 Ribeiro / CE;2665.41;30/08/2023;126.984.035-51;38
 53665451 Alves / SE;6905.22;20/03/2021;481.706.592-30;62
 88381-849 Costa de Pereira / SP;8335.71;20/11/2021;643.702.159-43;71
 73855-464 Pinto de Goiás / PB;2249.67;05/10/2022;691.540.738-39;51
 41788766 Ferreira da Serra / RS;3031.95;01/02/2024;265.389.407-65;72
 18295180 da Paz / AL;1750.29;02/06/2022;591.062.387-77;78
 67307-292 Ferreira Alegre / MT;9582.93;09/02/2024;675.208.493-92;39
""
 17247-859 Melo Alegre / BA;7029.45;26/01/2022;301.576.298-21;65
 24856418 Moraes / MA;5477.19;15/08/2023;689.412.730-13;30
 47399-121 Alves / PR;9928.56;15/07/2020;318.204.765-53;40
 09722-615 da Paz / PR;1854.84;27/04/2022;968.521.340-24;52
 37970-112 Pires / SE;1178.34;27/04/2021;902.871.564-94;72
 23293232 Fogaça / MS;3793.32;29/08/2022;817.349.526-28;59
 01548349 Ramos do Campo / RN;8416.89;26/10/2022;840.921.357-50;77
 49223-758 Sales / ES;5365.26;07/06/2021;139.542.087-41;18
 11565197 Porto do Galho / RS;3514.11;04/06/2020;486.275.391-46;53
 57211825 Azevedo de Gomes / AM;6844.95;21/02/2023;205.843.961-98;80
 33163886 Costela de da Paz / AP;5873.25;18/07/2020;;-10
 55478-299 Azevedo / MT;1036.89;07/09/2021;348.561.209-05;67
""
""
 29169839 Silveira / SP;1000000.0;28/02/2022;431.092.857-97;59
 87111-717 Azevedo Paulista / MT;6264.39;23/12/2023;184.570.296-49;66
 74121650 Rodrigues / TO;3223.83;22/07/2021;999.999.999-99;61
 42365700 Rocha do Oeste / RO;2119.29;18/06/2024;108.652.974-01;25
""
 12965-909 Pereira / AP;595.32;31/03/2022;502.634.719-34;44
 04494-311 Alves de Monteiro / AP;7161.06;09/04/2023;046.782.359-65;33
 00454260 Pereira / SP;6459.96;05/07/2020;;19
 17829-914 Nascimento / RS;9767.43;18/01/2021;150.687.423-17;80
 82744357 Fogaça / ES;8768.67;14/03/2021;432.567.809-38;38
 03467048 Pereira / RN;9980.22;11/04/2024;942.085.137-05;63
 48832799 Lima / MG;281.67;24/03/2020;951.024.738-32;24
""
""
""
 32924-372 Porto / MG;6901.53;04/11/2023;036.214.587-35;76
""
 39042180 Gomes de Ferreira / PB;2687.55;05/06/2021;830.729.416-96;67
 39773-702 da Costa do Galho / AC;5312.37;09/06/2023;793.681.425-64;26
 05922286 Araújo / AL;3060.24;19/01/2024;124.596.380-51;19
 26678-829 Pires / SP;12100.74;30/04/2020;381.765.492-82;29
 77494-461 Mendes / CE;0.0;06/05/2020;726.938.450-92;54
 65296-770 Rocha de Minas / AL;5562.06;13/11/2023;413.590.826-89;66
 77965960 Azevedo / AL;8158.59;14/08/2022;071.364.925-99;61
 72530875 Costa do Oeste / MA;6595.26;31/03/2022;539.620.741-80;19
""
 45478489 Nunes / DF;9.84;23/07/2022;123.456.789-00;61
 76021391 Cavalcanti de Viana / TO;8130.3;07/01/2024;782.534.910-50;63
 54364-407 Peixoto / PI;12074.91;21/11/2021;742.698.031-69;66
 98720925 Azevedo / SP;626.07;04/11/2021;;29
 73606-146 Silveira / RS;8982.69;06/10/2023;283.617.945-73;63
 14148-014 Silva / MT;5809.29;31/01/2021;621.783.490-13;68
 71278987 das Neves Paulista / PA;10629.66;14/12/2024;358.640.792-00;44
 76343-393 da Paz de Novaes / MG;1100.85;28/07/2023;051.349.782-04;50
""
 87923-809 da Rocha / RS;3466.14;19/11/2020;029.143.685-42;54
 20129520 Freitas / BA;1111.92;11/06/2020;;47
 67097-532 Silveira / RO;-500.0;21/12/2022;128.906.547-02;31
 22031-198 Cunha / SP;11702.22;30/10/2021;978.120.534-23;79
 17980019 Cardoso / PI;5858.49;06/07/2021;561.892.073-59;65
 35945073 da Luz das Pedras / TO;6297.6;05/09/2021;631.259.078-02;44
 51907-574 Cardoso das Pedras / AM;8381.22;18/09/2021;572.436.819-64;31
 32954511 da Rosa / RN;4207.83;09/02/2022;392.718.540-04;59
 75445870 Melo de Minas / SC;;28/09/2024;153.724.896-00;33
""
 06163863 Rodrigues / DF;;04/09/2023;839.147.562-09;62
 25878127 Moura das Flores / RR;8349.24;07/11/2021;912.780.546-85;56
 36679-067 Cunha / PB;3774.87;30/10/2020;831.697.450-93;65
 95751-180 Alves das Flores / RN;9617.37;16/07/2021;504.928.316-70;73
 50258-723 Castro / MA;302.58;28/03/2022;027.451.386-26;72
 77858-049 Novaes dos Dourados / MG;6468.57;27/03/2023;379.482.015-05;67
 74155178 Fogaça de Araújo / AL;7098.33;23/06/2022;251.946.780-02;79
 75339-039 Nascimento / PB;11119.2;11/03/2024;260.734.185-07;21
 37284-159 Melo / MA;8375.07;02/10/2024;376.924.508-38;18
 82757-657 da Mota / BA;9597.69;19/03/2021;259.631.408-89;38
 87474146 Sales de Gomes / RJ;4665.39;26/11/2024;146.570.328-44;36
 55258-432 Moura / SP;4127.88;06/10/2022;843.021.765-71;22
 13058734 da Costa / AM;4725.66;10/08/2020;345.296.017-06;62
""
 15499130 Almeida / PI;10146.27;06/03/2020;;18
 75445870 Melo de Minas / SC;;28/09/2024;153.724.896-00;33
""
